Quantity available for crop commodity demand (domestic and imported),,,,,,,,,,,,,,,,,,,,,,,,,,,
scenario,region,sector,subsector,input,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units
"Reference,date=2020-12-10T11:41:35-07:00",Africa_Northern,regional fibercrop,imported fibercrop,traded fibercrop,imported fibercrop,0.244549,0,0.0499237,0.100915,0.107055,0.10921,0.112058,0.114942,0.117823,0.12051,0.122421,0.120979,0.119243,0.117804,0.116087,0.114174,0.111965,0.109608,0.107375,0.104609,0.0991139,Mt
"Reference,date=2020-12-10T11:41:35-07:00",Africa_Northern,regional misccrop,domestic misccrop,MiscCrop,domestic misccrop,25.4542,45.1354,52.8457,56.4744,64.4688,71.8568,79.9752,87.5026,94.0366,100.393,106.117,112.659,117.91,122.191,125.064,127.103,128.681,129.706,130.13,130.048,129.453,Mt
"Reference,date=2020-12-10T11:41:35-07:00",Africa_Northern,regional misccrop,imported misccrop,traded misccrop,imported misccrop,0,0,0,2.68546,3.09004,3.44788,3.84832,4.21823,4.54394,4.86201,5.14768,5.47058,5.73338,5.95604,6.11104,6.22722,6.32676,6.39809,6.44312,6.46071,6.46829,Mt
"Reference,date=2020-12-10T11:41:35-07:00",Africa_Northern,regional oilcrop,domestic oilcrop,OilCrop,domestic oilcrop,1.85848,3.02592,3.31226,1.69559,3.61138,4.42877,5.36118,6.18155,6.95429,7.62292,7.99326,8.30127,8.66231,9.07863,9.41897,9.74223,10.0182,10.2093,10.2748,10.2921,10.2625,Mt
"Reference,date=2020-12-10T11:41:35-07:00",Africa_Northern,regional oilcrop,imported oilcrop,traded oilcrop,imported oilcrop,0.625363,0.331606,0,1.0543,2.47588,3.0909,3.79651,4.47327,5.14432,5.67562,5.91257,6.08108,6.35921,6.7062,7.04695,7.37037,7.65181,7.83402,7.92194,7.96238,8.02754,Mt
"Reference,date=2020-12-10T11:41:35-07:00",Africa_Northern,regional othergrain,domestic othergrain,OtherGrain,domestic othergrain,5.18469,4.90116,5.53007,5.46489,5.54995,5.89043,6.22572,6.46545,6.69011,6.92851,7.18253,7.29343,7.35898,7.39117,7.40318,7.40508,7.39777,7.39079,7.38474,7.37592,7.35477,Mt
"Reference,date=2020-12-10T11:41:35-07:00",Africa_Northern,regional othergrain,imported othergrain,traded othergrain,imported othergrain,0.69452,1.04116,1.07083,1.46066,1.49069,1.60753,1.71933,1.81178,1.90501,1.99876,2.08838,2.13093,2.14732,2.14482,2.12873,2.10572,2.07672,2.04431,2.01489,1.98471,1.96187,Mt
"Reference,date=2020-12-10T11:41:35-07:00",Africa_Northern,regional palmfruit,imported palmfruit,traded palmfruit,imported palmfruit,0.355493,0.772283,0.833308,0.541413,0.559303,0.574983,0.590299,0.617358,0.643019,0.670405,0.700609,0.720064,0.737198,0.753298,0.766801,0.778539,0.789225,0.797704,0.804255,0.808512,0.812147,Mt
"Reference,date=2020-12-10T11:41:35-07:00",Africa_Northern,regional rice,domestic rice,Rice,domestic rice,3.02886,5.43563,5.63193,5.09874,5.32983,5.55841,5.74999,5.97997,6.18827,6.40056,6.59725,6.63288,6.62615,6.59774,6.5454,6.48374,6.42631,6.36742,6.30017,6.22652,6.12765,Mt
"Reference,date=2020-12-10T11:41:35-07:00",Africa_Northern,regional rice,imported rice,traded rice,imported rice,0,0,0,0.720993,0.710515,0.716152,0.721368,0.740983,0.758451,0.773757,0.780665,0.766567,0.768784,0.771995,0.771625,0.769669,0.768404,0.765675,0.761235,0.755198,0.74914,Mt
